id,category_name,activity_title,activity_id,longitude,latitude,date,image,comment,gender,age_range,disability,puntuacion
338,Calidad medioambiental,Drenaje y alcantarillado,23,-101.68109477089423,21.097948635441767,2023-12-08 01:17:47.084182+00:00,images/b2e485a5-33f3-4edd-ab22-7feba3f82498.jpg,,MUJER,36_45,NINGUNA,33.0
332,Calidad medioambiental,Drenaje y alcantarillado,23,-101.68107829999356,21.099086941507977,2023-12-08 01:15:12.808296+00:00,,,MUJER,26_35,NINGUNA,22.0
331,Calidad medioambiental,Drenaje y alcantarillado,23,-101.68107829999356,21.099086941507977,2023-12-08 01:15:12.808229+00:00,,,MUJER,26_35,NINGUNA,33.0
301,Calidad medioambiental,Drenaje y alcantarillado,23,-101.68205290136322,21.09936884627431,2023-12-08 01:10:47.170632+00:00,,,HOMBRE,18_25,NINGUNA,6.0
271,Calidad medioambiental,Drenaje y alcantarillado,23,-101.68106131526878,21.099074708569034,2023-12-08 01:09:41.208294+00:00,images/39b95376-2362-4dbd-a5ec-5c4b7f664da7.jpg,,MUJER,26_35,NINGUNA,66.0
232,Calidad medioambiental,Drenaje y alcantarillado,23,-101.6803724899944,21.10048548935804,2023-12-08 01:07:09.370657+00:00,,,MUJER,26_35,NINGUNA,22.0
341,Calidad medioambiental,Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,17,-101.68592541401168,21.096096016246896,2023-12-08 01:17:47.084428+00:00,images/a101aa74-24ce-4cf1-804d-fa6be650f6cb.jpg,,MUJER,36_45,NINGUNA,
336,Calidad medioambiental,Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,17,-101.68107829999356,21.099086941507977,2023-12-08 01:15:12.808559+00:00,,,MUJER,26_35,NINGUNA,
302,Calidad medioambiental,Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,17,-101.6815114777386,21.09969187925589,2023-12-08 01:10:47.170696+00:00,,,HOMBRE,18_25,NINGUNA,
278,Calidad medioambiental,Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,17,-101.68105205441152,21.099071001309063,2023-12-08 01:09:41.208864+00:00,,separación en el mercado ,MUJER,26_35,NINGUNA,
