code,title,block_type,description,activity_title,activity_id,options
dim_enturb_11b,Selecciona las razones por las que consideras es necesario el/los elemento/s.,checkbox,Puedes seleccionar más de uno,Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,13,"{'choices': [{'label': 'Hay muchas personas que caminan en esta área', 'value': 'HAY_MUCHOS_PEATONES'}, {'label': 'Mejorar la seguridad al caminar y cruzar las calles y evitar siniestros viales', 'value': 'MEJORAR_SEGURIDAD'}, {'label': 'Para fomentar que las niñas y niños caminen con seguridad', 'value': 'FOMENTAR_SEGURIDAD_INFANTIL'}, {'label': 'Para conectar escuelas, parques/espacios abiertos cercanos ', 'value': 'CONECTAR_ESPACIOS'}, {'label': 'Para fomentar el comercio local', 'value': 'FOMENTAR_COMERCIO_LOCAL'}, {'label': 'Mejorar la apariencia del espacio público y embellecer el área', 'value': 'MEJORAR_APARIENCIA'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_enturb_12a,Selecciona el espacio,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'Parque', 'value': 'PARQUE'}, {'label': 'Plaza', 'value': 'PLAZA'}, {'label': 'Jardín', 'value': 'JARDIN'}, {'label': 'Cancha deportiva', 'value': 'CANCHA_DEPORTIVA'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_enturb_12b,Iluminación,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12c,Elementos fijos que den sombra,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12d,Espacios de descanso,radio,"Bancas, mesas, etc.",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12e,Espacios de recreación,radio,"Juegos, estructura de ejercicio",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12f,Mobiliario,radio,"Basureros, bicicleteros, bebederos",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12g,"Percepción de seguridad ante delitos, asaltos y/o robos",radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12v,Percepción de seguridad ante situaciones de acoso,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12h,Percepción de limpieza y mantención,radio,"Libre de basura y contaminación, sin zonas escarchadas",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12i,Áreas verdes y vegetación,radio,"Biodiversidad de especies, árboles y arbustos",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12j,Espacios para el cuidado de infancias,radio,"lactarios, mudadores de bebés",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12k,Elementos de seguridad,radio,"alarmas, botones de pánico, cámaras",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12l,Es posible acceder caminando y en bicicleta,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12m,Diversidad de actividades en el espacio,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12n,Diversidad de personas usando el espacio,radio,"mujeres, infancia, personas mayores y con discapacidad",Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12o,"Presencia de mujeres, adolescentes, niños y niñas, de día y noche",radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12p,Presencia de zonas seguras y de resguardo ante emergencias,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12q,El entorno del espacio es limpio y seguro,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12r,Otro,radio,,Espacios públicos y áreas verdes,14,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_enturb_12s,Otro,short_text,"Por favor, especifica.",Espacios públicos y áreas verdes,14,
