code,title,block_type,description,activity_title,activity_id,options
dim_medamb_18h,Sensación de malestar al transitar por la zona,radio,"ej. picor de ojos, nariz, ojos llorosos, dolor de cabeza, náuseas, etc.",Contaminación del aire,20,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18i,Otro,radio,,Contaminación del aire,20,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18j,Otro,short_text,"Por favor, especifique.",Contaminación del aire,20,
dim_medamb_19a,¿Qué tipo de punto de agua potable estás mapeando?,radio,,Punto público de agua potable,22,"{'choices': [{'label': 'Punto de recarga de agua potable (pagado o gratis)', 'value': 'PUNTO_RECARGA'}, {'label': 'Bebedero público de agua potable', 'value': 'BEBEDERO_PUBLICO'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_medamb_19c,Disponibilidad de agua potable en cualquier momento,radio,,Punto público de agua potable,22,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_medamb_19d,"Calidad del agua (sabor, color, y/o olor)",radio,,Punto público de agua potable,22,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_medamb_19e,Precio o costo,radio,,Punto público de agua potable,22,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_medamb_19f,Ubicación,radio,,Punto público de agua potable,22,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_medamb_19b,Otro,short_text,"Por favor, especifica.",Punto público de agua potable,22,
dim_medamb_21a,Selecciona el tipo de drenaje y/o alcantarillado,radio,,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Alcantarillado (tuberías de aguas residuales)', 'value': 'ALCANTARILLADO'}, {'label': 'Drenaje de agua de lluvias (tuberías, rejillas y otras estructuras para agua de lluvia)', 'value': 'DRENAJE'}, {'label': 'Otro', 'value': 'OTRO'}, {'label': 'No hay', 'value': 'NO_HAY'}]}"
dim_medamb_21b,Otro,short_text,"Por favor, especifique.",Drenaje y alcantarillado,23,
dim_medamb_21c,Punto de acumulación de agua en calles,radio,Zonas que se encharcan.,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21d,Inundaciones dentro de viviendas y/o negocios,radio,,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21e,Acumulación de basura y contaminación,radio,,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21f,Malos olores,radio,"Mal olor, desechos orgánicos, basura, entre otros",Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21g,"Zonas sin alcantarillado, descargas de aguas residuales domiciliarias a la calle",radio,,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21h,"Zonas sin drenaje, al llover se inunda o se acumula agua",radio,,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21i,Estructuras de contención de agua de lluvias en mal estado o insuficientes,radio,,Drenaje y alcantarillado,23,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
