id,category_name,activity_title,activity_id,longitude,latitude,date,image,comment,gender,age_range,disability,dim_biensoc_25a,dim_biensoc_25b,dim_biensoc_25c,dim_biensoc_25d,dim_biensoc_25e,dim_biensoc_25f,dim_biensoc_25g,dim_biensoc_22a,dim_biensoc_22b,dim_biensoc_22c,dim_biensoc_22d,dim_biensoc_22e,dim_biensoc_22f,dim_biensoc_22g,dim_biensoc_26a,dim_biensoc_26b,dim_biensoc_26c,dim_biensoc_26d,dim_biensoc_26e,dim_biensoc_26f,dim_biensoc_26g,dim_biensoc_27a,dim_biensoc_27b,dim_biensoc_27c,dim_biensoc_27d,dim_biensoc_27e,dim_biensoc_27f,dim_biensoc_27g,dim_biensoc_24a,dim_biensoc_24b,dim_biensoc_24c,dim_biensoc_24d,dim_biensoc_24e,dim_biensoc_24f,dim_biensoc_24g,dim_biensoc_24h,dim_medamb_18a,dim_medamb_18b,dim_medamb_18c,dim_medamb_18d,dim_medamb_18e,dim_medamb_18f,dim_medamb_18g,dim_medamb_18h,dim_medamb_18j,dim_medamb_21a,dim_medamb_21b,dim_medamb_21c,dim_medamb_21d,dim_medamb_21e,dim_medamb_21f,dim_medamb_21g,dim_medamb_21h,dim_medamb_21i,dim_medamb_21k,dim_medamb_20a,dim_medamb_20b,dim_medamb_20c,dim_medamb_20d,dim_medamb_20e,dim_medamb_20g,dim_medamb_15a,dim_medamb_15b,dim_medamb_15c,dim_medamb_16a,dim_medamb_16b,dim_medamb_16c,dim_medamb_16d,dim_medamb_16e,dim_medamb_16f,dim_medamb_16h,dim_enturb_9a,dim_enturb_9b,dim_enturb_9c,dim_enturb_9d,dim_enturb_9e,dim_enturb_9f,dim_enturb_9g,dim_enturb_9h,dim_enturb_9i,dim_enturb_9o,dim_enturb_9j,dim_enturb_9k,dim_enturb_9l,dim_enturb_9m,dim_enturb_9n,Otro,dim_enturb_11b,dim_enturb_11a,dim_enturb_11c,dim_enturb_6a,dim_enturb_6b,dim_enturb_6c,dim_enturb_10a,dim_enturb_10b,dim_enturb_10c,dim_enturb_10d,dim_enturb_10e,dim_enturb_10f,dim_enturb_10h,dim_enturb_2c,dim_enturb_2a,dim_enturb_2b,dim_enturb_2d,dim_enturb_2e,dim_enturb_12a,dim_enturb_12b,dim_enturb_12c,dim_enturb_12d,dim_enturb_12e,dim_enturb_12f,dim_enturb_12g,dim_enturb_12v,dim_enturb_12h,dim_enturb_12i,dim_enturb_12j,dim_enturb_12k,dim_enturb_12l,dim_enturb_12m,dim_enturb_12n,dim_enturb_12o,dim_enturb_12p,dim_enturb_12q,dim_enturb_12s,dim_enturb_3f,dim_enturb_3a,dim_enturb_3b,dim_enturb_3c,dim_enturb_3d,dim_enturb_3e,dim_enturb_3g,dim_enturb_3h,dim_enturb_3i,dim_enturb_3j,dim_enturb_3k,dim_enturb_3l,dim_enturb_3m,dim_enturb_3n,dim_enturb_4a,dim_enturb_4b,dim_otra_1a,dim_riesdes_33a,dim_riesdes_33b,dim_riesdes_30a,dim_riesdes_30b,dim_riesdes_30c,dim_riesdes_30d,dim_riesdes_30e,dim_riesdes_30f,dim_riesdes_30g,dim_riesdes_31a,dim_riesdes_31b,dim_riesdes_31c,dim_riesdes_31d,dim_riesdes_31e,dim_riesdes_31f,dim_riesdes_31g,dim_riesdes_32a,dim_riesdes_32b,dim_riesdes_32c,dim_riesdes_32d,dim_riesdes_32e,dim_riesdes_32f,dim_riesdes_32g,dim_riesdes_28a,dim_riesdes_28b,dim_riesdes_28c,dim_riesdes_28d,dim_riesdes_28e,dim_riesdes_28f,dim_riesdes_28g,dim_riesdes_29a,dim_riesdes_29b,dim_riesdes_29c,dim_riesdes_29d,dim_riesdes_29e,dim_riesdes_29f,dim_riesdes_29g
728,Otra,Mapeo libre,127,-110.9248351011375,29.087204881380863,2023-12-19 21:57:35.355525+00:00,,,MUJER,MENOS_18,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prueba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Calidad medioambiental,Contaminación del aire,109,-110.92545310000006,29.088439852827484,2023-12-19 21:57:35.355456+00:00,,,MUJER,MENOS_18,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prueba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Bienestar Socioeconómico,Actividades deportivas,106,-110.92545310000006,29.088439852827484,2023-12-19 21:57:35.355383+00:00,,,MUJER,MENOS_18,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prueba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92554209999578,29.088500352830657,2023-12-19 21:57:35.355287+00:00,,,MUJER,MENOS_18,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prueba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92791580000878,29.090579864770042,2023-12-15 00:33:49.550537+00:00,images/dd345b8a-a2a0-43d0-8c38-f96c420941c0.jpg,,HOMBRE,18_25,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRENAJE,,LEVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Entorno urbano,Paradas de transporte público (POTENCIALES) ⭐️⭐️,125,-110.92601963090189,29.09098707321028,2023-12-15 00:29:53.387344+00:00,,,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUNTO_ESPERA MEJORAR_SEGURIDAD MEJORAR_COMODIDAD PROTECCION_CONDICIONES_CLIMATICAS PUNTO_INFORMACION OTRO,no existe una estructura como tal para indicar la parada de camion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92576704860224,29.09154838088258,2023-12-15 00:29:53.387274+00:00,,,HOMBRE,36_45,NINGUNA,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,REGULAR,BUENO,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Riesgo de desastres,Riesgo antropogénico,130,-110.92576704860224,29.09154838088258,2023-12-15 00:29:53.387171+00:00,,tiradero ,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUSTANCIAS_RESIDUOS,5_N,GRAVE,GRAVE,NINGUNO,MODERADO,LEVE,,,,,,,,,,,,,,,,,,,,,
708,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92550463090173,29.09162367320389,2023-12-15 00:29:53.387107+00:00,images/1a69ec93-bd08-4b33-b1e4-debf72b050e3.jpg,,HOMBRE,36_45,NINGUNA,,,,,,,,MERCADO_BAZAR,,BUENO,REGULAR,REGULAR,BUENO,REGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Entorno urbano,Paradas de transporte público (POTENCIALES) ⭐️⭐️,125,-110.92548743090217,29.091627373190043,2023-12-15 00:29:53.387041+00:00,,,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUNTO_ESPERA PROTECCION_CONDICIONES_CLIMATICAS MEJORAR_SEGURIDAD MEJORAR_COMODIDAD PUNTO_INFORMACION,no existe una estructura que te indique la parada de camion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Entorno urbano,Paradas de transporte público (POTENCIALES) ⭐️⭐️,125,-110.92453433772165,29.089490426319543,2023-12-15 00:29:53.386977+00:00,,,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROTECCION_CONDICIONES_CLIMATICAS,no existe una estructura como tal para indicar la parada de camion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Entorno urbano,Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,117,-110.92453433772165,29.089490426319543,2023-12-15 00:29:53.386913+00:00,images/78c5ab71-e99c-4996-bd19-7889960a1072.jpg,,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAY_MUCHOS_PEATONES CONECTAR_ESPACIOS MEJORAR_APARIENCIA,BANQUETA CALLE_PEATONAL CRUCE_PEATONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Riesgo de desastres,Riesgo hidrometeorológico,133,-110.92453433772165,29.089490426319543,2023-12-15 00:29:53.386848+00:00,images/749aa5d7-683a-41f7-8a8e-76c3d4cbe38e.jpg,,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INUNDACION,1,MODERADO,GRAVE,LEVE,LEVE,GRAVE
703,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92453433772165,29.089490426319543,2023-12-15 00:29:53.386783+00:00,images/3ed0cf12-1838-4be3-a557-1fc5967911aa.jpg,,HOMBRE,36_45,NINGUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALCANTARILLADO,,GRAVE,LEVE,GRAVE,GRAVE,GRAVE,GRAVE,MODERADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
